/* Field profile:
/*    z Bz(axis)    rFT Bz(rmax)   rout Bz(rmax)
-1.2024 1.314871 0.0330 1.326791 0.0493 1.341845
-1.1974 1.316686 0.0330 1.327848 0.0493 1.341875
-1.1924 1.317482 0.0330 1.327869 0.0493 1.340848
-1.1874 1.317326 0.0330 1.326929 0.0494 1.338857
-1.1824 1.316289 0.0330 1.325110 0.0494 1.335992
-1.1774 1.314440 0.0330 1.322488 0.0494 1.332345
-1.1724 1.311849 0.0331 1.319142 0.0495 1.328003
-1.1674 1.308586 0.0331 1.315147 0.0496 1.323049
-1.1624 1.304716 0.0332 1.310576 0.0497 1.317565
-1.1574 1.300303 0.0332 1.305497 0.0498 1.311625
-1.1524 1.295410 0.0333 1.299977 0.0499 1.305299
-1.1474 1.290093 0.0334 1.294074 0.0500 1.298650
-1.1424 1.284406 0.0334 1.287846 0.0501 1.291737
-1.1374 1.278400 0.0335 1.281342 0.0502 1.284612
-1.1324 1.272119 0.0336 1.274610 0.0504 1.277320
-1.1274 1.265604 0.0337 1.267690 0.0505 1.269902
-1.1224 1.258894 0.0338 1.260618 0.0506 1.262392
-1.1174 1.252021 0.0339 1.253427 0.0508 1.254819
-1.1124 1.245014 0.0340 1.246143 0.0509 1.247209
-1.1074 1.237899 0.0341 1.238789 0.0511 1.239580
-1.1024 1.230697 0.0342 1.231386 0.0512 1.231949
-1.0974 1.223427 0.0343 1.223949 0.0514 1.224328
-1.0924 1.216104 0.0344 1.216490 0.0516 1.216725
-1.0874 1.208741 0.0345 1.209019 0.0517 1.209147
-1.0824 1.201347 0.0346 1.201544 0.0519 1.201595
-1.0774 1.193931 0.0347 1.194068 0.0520 1.194072
-1.0724 1.186498 0.0348 1.186596 0.0522 1.186576
-1.0674 1.179053 0.0349 1.179127 0.0524 1.179104
-1.0624 1.171598 0.0350 1.171662 0.0525 1.171652
-1.0574 1.164135 0.0351 1.164200 0.0527 1.164217
-1.0524 1.156665 0.0353 1.156739 0.0529 1.156790
-1.0474 1.149187 0.0354 1.149276 0.0530 1.149368
-1.0424 1.141702 0.0355 1.141807 0.0532 1.141943
-1.0374 1.134208 0.0356 1.134330 0.0534 1.134509
-1.0324 1.126706 0.0357 1.126842 0.0536 1.127059
-1.0274 1.119193 0.0358 1.119340 0.0538 1.119588
-1.0224 1.111671 0.0360 1.111822 0.0539 1.112091
-1.0174 1.104140 0.0361 1.104285 0.0541 1.104563
-1.0124 1.096600 0.0362 1.096729 0.0543 1.097001
-1.0074 1.089052 0.0363 1.089155 0.0545 1.089404
-1.0024 1.081500 0.0365 1.081563 0.0547 1.081770
-0.9974 1.073947 0.0366 1.073956 0.0549 1.074100
-0.9924 1.066396 0.0367 1.066336 0.0551 1.066397
-0.9874 1.058853 0.0368 1.058710 0.0553 1.058665
-0.9824 1.051324 0.0370 1.051083 0.0555 1.050910
-0.9774 1.043815 0.0371 1.043462 0.0557 1.043140
-0.9724 1.036335 0.0372 1.035856 0.0559 1.035364
-0.9674 1.028892 0.0374 1.028275 0.0561 1.027594
-0.9624 1.021496 0.0375 1.020729 0.0563 1.019842
-0.9574 1.014156 0.0377 1.013230 0.0565 1.012123
-0.9524 1.006882 0.0378 1.005790 0.0567 1.004452
-0.9474 0.999685 0.0379 0.998422 0.0569 0.996845
-0.9424 0.992576 0.0381 0.991139 0.0571 0.989318
-0.9374 0.985565 0.0382 0.983954 0.0573 0.981890
-0.9324 0.978664 0.0383 0.976881 0.0575 0.974575
-0.9274 0.971883 0.0385 0.969931 0.0578 0.967392
-0.9224 0.965231 0.0386 0.963118 0.0580 0.960355
-0.9174 0.958719 0.0387 0.956452 0.0582 0.953479
-0.9124 0.952355 0.0389 0.949945 0.0584 0.946777
-0.9074 0.946146 0.0390 0.943606 0.0586 0.940261
-0.9024 0.940102 0.0391 0.937443 0.0587 0.933942
-0.8974 0.934227 0.0393 0.931464 0.0589 0.927827
-0.8924 0.928528 0.0394 0.925675 0.0591 0.921925
-0.8874 0.923009 0.0395 0.920082 0.0593 0.916239
-0.8824 0.917674 0.0396 0.914687 0.0595 0.910774
-0.8774 0.912525 0.0397 0.909494 0.0596 0.905531
-0.8724 0.907566 0.0398 0.904504 0.0598 0.900511
-0.8674 0.902795 0.0399 0.899717 0.0600 0.895714
-0.8624 0.898215 0.0400 0.895133 0.0601 0.891137
-0.8574 0.893824 0.0401 0.890750 0.0603 0.886777
-0.8524 0.889622 0.0402 0.886567 0.0604 0.882631
-0.8474 0.885605 0.0403 0.882580 0.0605 0.878694
-0.8424 0.881773 0.0404 0.878786 0.0607 0.874961
-0.8374 0.878122 0.0405 0.875181 0.0608 0.871427
-0.8324 0.874649 0.0406 0.871761 0.0609 0.868085
-0.8274 0.871350 0.0407 0.868520 0.0610 0.864930
-0.8224 0.868221 0.0407 0.865455 0.0611 0.861955
-0.8174 0.865259 0.0408 0.862559 0.0612 0.859153
-0.8124 0.862458 0.0409 0.859828 0.0613 0.856519
-0.8074 0.859814 0.0409 0.857256 0.0614 0.854046
-0.8024 0.857323 0.0410 0.854838 0.0615 0.851727
-0.7974 0.854980 0.0410 0.852569 0.0616 0.849557
-0.7924 0.852780 0.0411 0.850443 0.0617 0.847530
-0.7874 0.850719 0.0411 0.848455 0.0618 0.845639
-0.7824 0.848793 0.0412 0.846601 0.0618 0.843879
-0.7774 0.846996 0.0412 0.844874 0.0619 0.842246
-0.7724 0.845324 0.0413 0.843272 0.0619 0.840733
-0.7674 0.843774 0.0413 0.841788 0.0620 0.839336
-0.7624 0.842340 0.0413 0.840420 0.0620 0.838050
-0.7574 0.841020 0.0414 0.839161 0.0621 0.836872
-0.7524 0.839809 0.0414 0.838010 0.0621 0.835796
-0.7474 0.838705 0.0414 0.836961 0.0622 0.834819
-0.7424 0.837702 0.0414 0.836012 0.0622 0.833938
-0.7374 0.836799 0.0415 0.835159 0.0622 0.833148
-0.7324 0.835992 0.0415 0.834399 0.0623 0.832448
-0.7274 0.835278 0.0415 0.833730 0.0623 0.831833
-0.7224 0.834655 0.0415 0.833147 0.0623 0.831302
-0.7174 0.834120 0.0415 0.832650 0.0623 0.830851
-0.7124 0.833672 0.0415 0.832236 0.0623 0.830480
-0.7074 0.833307 0.0416 0.831902 0.0624 0.830185
-0.7024 0.833025 0.0416 0.831648 0.0624 0.829965
-0.6974 0.832824 0.0416 0.831471 0.0624 0.829818
-0.6924 0.832701 0.0416 0.831369 0.0624 0.829743
-0.6874 0.832657 0.0416 0.831343 0.0624 0.829739
-0.6824 0.832689 0.0416 0.831390 0.0624 0.829804
-0.6774 0.832797 0.0416 0.831510 0.0624 0.829938
-0.6724 0.832981 0.0416 0.831702 0.0624 0.830141
-0.6674 0.833240 0.0416 0.831966 0.0624 0.830412
-0.6624 0.833573 0.0415 0.832302 0.0623 0.830750
